File	WordCount	Title
TOEFL_Reading_0001.txt	688	Passage 0001: Lyman‑alpha Signatures of Exoplanet Atmospheric Escape (Astronomy)
TOEFL_Reading_0002.txt	634	Passage 0002: Columnar Basalt as a Record of Cooling and Contraction (Geology)
TOEFL_Reading_0003.txt	640	Passage 0003: CRISPR-Cas as Bacterial Memory and Its Trade-offs (Biology)
TOEFL_Reading_0004.txt	608	Passage 0004: Maize Domestication as Gradual Selection Across Landscapes (Anthropology)
TOEFL_Reading_0005.txt	606	Passage 0005: Expectations, Contracts, and the Making of Inflation Spirals (Economics)
TOEFL_Reading_0006.txt	628	Passage 0006: Printing, Markets, and the Narrowing of Written Variation (History)
TOEFL_Reading_0007.txt	604	Passage 0007: Why Bright LEDs Can Become Less Efficient at High Current (Physics)
TOEFL_Reading_0008.txt	618	Passage 0008: Beaver Dams and the Cascading Reshaping of Streams (Ecology)
TOEFL_Reading_0009.txt	623	Passage 0009: Why Spaced Practice Strengthens Memory (Psychology)
TOEFL_Reading_0010.txt	613	Passage 0010: Upwelling Timing and Cycles in Small Pelagic Fisheries (Oceanography)
TOEFL_Reading_0011.txt	681	Passage 0011: Checkpoint Inhibitors and the Mechanism of Immune Toxicity (Medicine)
TOEFL_Reading_0012.txt	654	Passage 0012: Linear Perspective as Technique, Patronage, and Cultural Claim (Art History)
TOEFL_Reading_0013.txt	644	Passage 0013: The Great Vowel Shift and Why English Spelling Remembers (Linguistics)
TOEFL_Reading_0014.txt	625	Passage 0014: Monsoon Timing, Rainfall Breaks, and Agricultural Risk (Climate Science)
TOEFL_Reading_0015.txt	629	Passage 0015: Shape-Memory Alloys and Reversible Crystal Transformations (Materials Science)
TOEFL_Reading_0016.txt	648	Passage 0016: The Erie Canal and Cascading Market Integration (American History)
TOEFL_Reading_0017.txt	643	Passage 0017: Predators, Prey Behavior, and Context-Dependent Trophic Cascades (Ecology)
TOEFL_Reading_0018.txt	639	Passage 0018: Public-Key Cryptography, RSA, and the Architecture of Trust (Computer Science)
TOEFL_Reading_0019.txt	631	Passage 0019: Groundwater Depletion, Clay Consolidation, and Sinking Land (Hydrology)
TOEFL_Reading_0020.txt	643	Passage 0020: Gravitational Microlensing and a One-Time Window on Planets (Astronomy)
TOEFL_Reading_0021.txt	681	Passage 0021: Place Cells and How Brains Build Usable Space (Neuroscience)
TOEFL_Reading_0022.txt	656	Passage 0022: Radiocarbon Calibration, Curve Wiggles, and Hidden Carbon Sources (Archaeology)
TOEFL_Reading_0023.txt	657	Passage 0023: Network Effects, Standards Rivalry, and Coordination in Markets (Economics)
TOEFL_Reading_0024.txt	637	Passage 0024: C4 Photosynthesis as a Biochemical Response to Heat and Drought (Botany)
TOEFL_Reading_0025.txt	610	Passage 0025: The Meissner Effect and Why Superconductors Redraw Magnetism (Physics)
TOEFL_Reading_0026.txt	611	Passage 0026: Gifts, Reciprocity, and How Obligation Builds Social Networks (Anthropology)
TOEFL_Reading_0027.txt	628	Passage 0027: Thermohaline Circulation and How Density Links Ice, Heat, and Life (Oceanography)
TOEFL_Reading_0028.txt	611	Passage 0028: Catalytic Converters as Surface Chemistry in Motion (Chemistry)
TOEFL_Reading_0029.txt	616	Passage 0029: Unreliable Narration and the Clues a Text Leaves in Its Own Voice (Literature)
TOEFL_Reading_0030.txt	610	Passage 0030: Activated Sludge as Engineered Microbial Work in Wastewater Treatment (Engineering)
TOEFL_Reading_0031.txt	667	Passage 0031: Slow Slip on Subduction Faults and the Hidden Ways Plates Release Stress (Geology)
TOEFL_Reading_0032.txt	616	Passage 0032: Kelp Forests, Urchin Barrens, and the Predator–Grazer Switch (Ecology)
TOEFL_Reading_0033.txt	626	Passage 0033: Prince Rupert’s Drops and How Tempering Turns Stress into Strength (Materials Science)
TOEFL_Reading_0034.txt	626	Passage 0034: Redlining and How Paper Maps Became Long-Term Inequality (Urban Sociology)
TOEFL_Reading_0035.txt	616	Passage 0035: The Great Vowel Shift and Why English Spelling Preserves Older Sounds (Linguistics)
TOEFL_Reading_0036.txt	646	Passage 0036: Reading Exoplanet Atmospheres from Transit Colors (Astronomy)
TOEFL_Reading_0037.txt	645	Passage 0037: Circadian Clocks, Light Timing, and Why the Body Argues with Night (Neuroscience)
TOEFL_Reading_0038.txt	601	Passage 0038: From Miasma to Microbes—How Practical Problems Drove Germ Theory (History of Science)
TOEFL_Reading_0039.txt	666	Passage 0039: Sickle-Cell Trait, Malaria, and Why Harmful Alleles Can Persist (Medicine)
TOEFL_Reading_0040.txt	610	Passage 0040: Fresco Painting, Lime Chemistry, and Why Some Wall Colors Survive Centuries (Art History)
TOEFL_Reading_0041.txt	623	Passage 0041: Slow Slip, Tremor, and the Patchwork Mechanics of Megathrust Faults (Geology)
TOEFL_Reading_0042.txt	612	Passage 0042: Sleep Oscillations and How the Brain Consolidates and Reworks Memory (Psychology)
TOEFL_Reading_0043.txt	614	Passage 0043: Gravitational Microlensing and What Brief Light Curves Reveal About Exoplanets (Astronomy)
TOEFL_Reading_0044.txt	607	Passage 0044: Fresco as Chemistry, Workflow, and Conservation Challenge (Art History)
TOEFL_Reading_0045.txt	615	Passage 0045: CRISPR-Cas as Bacterial Immune Memory in a Phage Arms Race (Microbiology)
TOEFL_Reading_0046.txt	619	Passage 0046: Policy Diffusion and Why Governments Adopt the Same Rules for Different Reasons (Political Science)
TOEFL_Reading_0047.txt	609	Passage 0047: Shape-Memory Alloys and the Reversible Physics Behind “Remembering” Metals (Materials Science)
TOEFL_Reading_0048.txt	612	Passage 0048: Lexical Tone and How Pitch Becomes Meaning in Tonal Languages (Linguistics)
TOEFL_Reading_0049.txt	614	Passage 0049: Trophic Cascades and How Predators Reshape Ecosystems Indirectly (Ecology)
TOEFL_Reading_0050.txt	618	Passage 0050: Error-Correcting Codes and How Redundancy Makes Noise Repairable (Computer Science)
TOEFL_Reading_0051.txt	648	Passage 0051: Obsidian Fingerprints and What Volcanic Glass Reveals About Ancient Exchange (Archaeology)
TOEFL_Reading_0052.txt	600	Passage 0052: CAM Photosynthesis and How Desert Plants Re-Schedule Carbon Intake (Botany)
TOEFL_Reading_0053.txt	617	Passage 0053: Inflation Expectations, Salient Prices, and Why Stories Can Move Real Decisions (Economics)
TOEFL_Reading_0054.txt	604	Passage 0054: Internal Waves and the Hidden Mixing That Links Ocean Layers (Oceanography)
TOEFL_Reading_0055.txt	601	Passage 0055: Perovskite Solar Cells and the Chemistry of Degradation and Defense (Materials Science)
TOEFL_Reading_0056.txt	621	Passage 0056: Placebo, Nocebo, and How Expectations Modulate Pain Pathways (Neuroscience)
TOEFL_Reading_0057.txt	613	Passage 0057: Printing Diagrams and How Repeatable Images Changed Scientific Argument (History of Science)
TOEFL_Reading_0058.txt	602	Passage 0058: Phenological Mismatch and When Flowers and Pollinators Lose Synchrony (Ecology)
TOEFL_Reading_0059.txt	619	Passage 0059: Stellar Metallicity and How Element Ratios Bias Planet Building (Astronomy)
TOEFL_Reading_0060.txt	633	Passage 0060: Consensus Protocols and Why Replicated Logs Need Majorities and Terms (Computer Science)
TOEFL_Reading_0061.txt	608	Passage 0061: Loess Layers, Paleosols, and the Dust Archive of Monsoon History (Geology)
TOEFL_Reading_0062.txt	601	Passage 0062: Sleep Spindles and the Rhythms That Shield and Rewire the Sleeping Brain (Neuroscience)
TOEFL_Reading_0063.txt	605	Passage 0063: Potlatch as Public Exchange, Prestige, and Memory in Northwest Coast Societies (Anthropology)
TOEFL_Reading_0064.txt	601	Passage 0064: Three-Way Catalysts and How Cars Convert NOx, CO, and Hydrocarbons (Chemistry/Engineering)
TOEFL_Reading_0065.txt	615	Passage 0065: Kelp Forests, Sea Urchins, and Why Ecosystems Can Flip to Barrens (Ecology)
TOEFL_Reading_0066.txt	615	Passage 0066: Superconducting Qubits, Decoherence, and the Materials Behind Quantum Fragility (Physics/Engineering)
TOEFL_Reading_0067.txt	606	Passage 0067: Ultramarine Blue, Lapis Lazuli, and the Economics of a Renaissance Color (Art History/Materials)
